qid,model,protocol,repeat,model_prob,elicited_at,cache_hit,parse_error,outcome,crowd_prob_at_T,resolved_at,is_post_cutoff,close_before_cutoff_haiku,close_before_cutoff_jan2026,close_before_T
manifold_06dEOAdtgU,claude-haiku-4-5-20251001,v2,0,0.62,2026-07-16T15:55:06.211929+00:00,0,0,0,0.24736784771124812,2025-03-11T15:13:45.253000+00:00,0,1,1,0
manifold_06dEOAdtgU,claude-opus-4-8,v2,0,0.03,2026-07-16T21:06:06.003443+00:00,0,0,0,0.24736784771124812,2025-03-11T15:13:45.253000+00:00,0,1,1,0
manifold_06dEOAdtgU,claude-sonnet-5,v2,0,0.03,2026-07-16T15:59:25.499168+00:00,0,0,0,0.24736784771124812,2025-03-11T15:13:45.253000+00:00,0,1,1,0
manifold_08gZEZ0A99,claude-haiku-4-5-20251001,v2,0,0.62,2026-07-16T15:55:06.211929+00:00,0,0,0,0.3943798858416366,2025-03-28T19:51:06.745000+00:00,0,1,1,0
manifold_08gZEZ0A99,claude-opus-4-8,v2,0,0.4,2026-07-16T21:06:06.003443+00:00,0,0,0,0.3943798858416366,2025-03-28T19:51:06.745000+00:00,0,1,1,0
manifold_08gZEZ0A99,claude-sonnet-5,v2,0,0.25,2026-07-16T15:59:25.499168+00:00,0,0,0,0.3943798858416366,2025-03-28T19:51:06.745000+00:00,0,1,1,0
manifold_0AIUARpEzg,claude-haiku-4-5-20251001,v2,0,0.12,2026-07-16T15:55:06.211929+00:00,0,0,1,0.3426768234665259,2025-11-12T19:33:40.105000+00:00,1,0,1,0
manifold_0AIUARpEzg,claude-opus-4-8,v2,0,0.28,2026-07-16T21:06:06.003443+00:00,0,0,1,0.3426768234665259,2025-11-12T19:33:40.105000+00:00,0,0,1,0
manifold_0AIUARpEzg,claude-sonnet-5,v2,0,0.35,2026-07-16T15:59:25.499168+00:00,0,0,1,0.3426768234665259,2025-11-12T19:33:40.105000+00:00,0,0,1,0
manifold_0FTgooCYZre9ozKjv97W,claude-haiku-4-5-20251001,v2,0,0.72,2026-07-16T15:55:06.211929+00:00,0,0,1,0.8574517429375063,2026-01-02T02:21:01.891000+00:00,1,0,1,0
